coin,date,target,price_change_percent,price_trend_7d,volatility_7d,avg_volume_7d,avg_price_7d,news_volume_change,sentiment_change,positive_change,negative_change,negative_spike,positive_spike,price_sentiment_alignment,divergence
sol,2025-11-29,0,-1.0035667903736434,7.710114336038915,5.084939260460266,4863665141.714286,136.72453145049093,2.0,-0.43120670132339,0.0,1.0,0.0,0.0,-3.3246529696695197,0.0
sol,2025-11-30,0,-1.110736352890439,4.004445788884292,3.5542460508895704,4733334521.142858,137.93320050550534,0.0,-0.9010204784572124,0.0,1.0,0.0,0.0,-3.530787689581383,0.0
sol,2025-12-01,0,-5.818198117109286,-2.7394749454984613,2.605482087028397,4657451672.857142,138.46579894003366,0.0,-0.9010204784572124,0.0,1.0,0.0,0.0,2.41544146766375,0.0
sol,2025-12-02,1,9.41765950704911,-8.819038438524643,4.863050655920491,4717374768.285714,136.80572538769962,-2.0,0.43120670132339,0.0,-1.0,0.0,0.0,-0.0,0.0
sol,2025-12-03,1,4.577747077475049,-2.9657361020223956,4.843479941434894,5018774715.0,136.75966946454213,-1.0,0.8817169405519962,0.0,-1.0,0.0,0.0,-0.0,0.0
sol,2025-12-04,0,-4.156882174052425,2.984109427213056,5.264933195319785,5084100860.857142,137.06108225928543,-1.0,0.8817169405519962,0.0,-1.0,0.0,0.0,0.0,0.0
sol,2025-12-05,0,-4.175559802385431,1.1168008943904775,5.114818001114529,5222529265.857142,136.80018106728895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sol,2025-12-06,0,-0.7403070854194865,-2.123131853033044,5.2514662098879805,5158969756.0,136.19033389323593,2.0,-0.0842657103203237,1.0,1.0,0.0,0.0,0.17890721369953458,0.0
sol,2025-12-08,1,1.254224576079096,3.8576630242034975,5.610556025735746,5229133068.0,135.21663181888758,14.0,-0.3073212354044829,4.0,8.0,1.0,0.0,-1.1855417663724126,0.0
sol,2025-12-09,1,3.544957577675867,-3.8909515778669737,4.570506255902735,5002581356.142858,136.15098887102633,37.0,0.13851171159311323,21.0,9.0,1.0,1.0,-0.5389423627762792,1.0
sol,2025-12-10,0,-1.0869726078649917,-4.840105856095347,4.523163493921286,4958925789.428572,136.05511346240127,63.0,0.10543812208880599,34.0,19.0,1.0,1.0,-0.10247671418829313,0.0
sol,2025-12-12,0,-2.911910497560822,2.4332086072314745,2.2909039809936638,5228692462.142858,134.4718219195881,95.0,0.4078340136926978,60.0,22.0,1.0,1.0,0.24456855726763324,0.0
sol,2025-12-13,1,0.5689436244848679,0.19217502354431712,2.362196110255527,5358223939.571428,134.3672499668849,60.0,-0.11270432428883992,31.0,21.0,1.0,1.0,0.007405949908607866,0.0
sol,2025-12-14,0,-2.735653390379682,1.2036090897859442,2.2548058067190855,5343787189.428572,134.51121365765428,11.0,0.08317201658943442,6.0,-1.0,0.0,1.0,0.14519306064576898,0.0
sol,2025-12-15,0,-1.4470024473226668,-2.7842743958067944,2.7010634213596694,5129868144.428572,134.21691713347835,-38.0,-0.06749966775532812,-31.0,-7.0,0.0,0.0,-0.21367384404558049,0.0
sol,2025-12-16,1,2.050330582486201,-7.471098625304458,3.5496083469519437,5186952304.285714,133.4189068702975,-60.0,0.034957360108891146,-36.0,-23.0,0.0,0.0,-0.39395234908928967,0.0
trx,2025-09-26,1,1.9789378432702374,-3.454672375928985,0.0046450490805393955,778462017.4285715,0.3399405915952997,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-09-30,0,-1.03722987466239,0.24465416409442728,0.0020290903030180394,612200403.8571428,0.3363438320343379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
